코드,종목명,시장,시가총액
0130H0,엔에이치스팩33호,KOSDAQ,15353800000
233250,메디안디노스틱,KONEX,15352033860
379390,이성씨엔아이,KONEX,15343884000
469880,하나30호스팩,KOSDAQ,15340500000
054410,케이피티유,KOSDAQ,15289605480
477340,에이치엠씨제7호스팩,KOSDAQ,15282850000
030350,드래곤플라이,KOSDAQ,15171092867
045520,크린앤사이언스,KOSDAQ,15112500000
18064K,한진칼우,KOSPI,15109962900
065690,파커스,KOSDAQ,15060882832
0044K0,삼성스팩10호,KOSDAQ,15024960000
060260,뉴보텍,KOSDAQ,14996808144
096870,엘디티,KOSDAQ,14809350226
227100,프로브잇,KOSDAQ,14770119384
067770,세진티에스,KOSDAQ,14719227529
083660,CSA 코스믹,KOSDAQ,14702093406
0115H0,삼성스팩13호,KOSDAQ,14670600000
247660,나노씨엠에스,KOSDAQ,14660730000
137940,넥스트아이,KOSDAQ,14640781785
900120,씨엑스아이,KOSDAQ,14603186473
473050,유안타제15호스팩,KOSDAQ,14545750000
351020,미쥬,KONEX,14504250000
000087,하이트진로2우B,KOSPI,14477067780
060230,제이케이시냅스,KOSDAQ,14412925696
065420,에스아이리소스,KOSDAQ,14315459800
199730,바이오인프라,KOSDAQ,14301238980
478440,미래에셋비전스팩6호,KOSDAQ,14275800000
45226K,한화갤러리아우,KOSPI,14231903000
240600,유진테크놀로지,KOSDAQ,14202709550
154040,다산솔루에타,KOSDAQ,14108773884
479880,한국제15호스팩,KOSDAQ,14049150000
048830,엔피케이,KOSDAQ,14042942250
092600,앤씨앤,KOSDAQ,14021684885
00806K,대덕1우,KOSPI,14014846920
088290,이원컴포텍,KOSDAQ,14005982432
002680,한탑,KOSDAQ,13993173967
0099W0,미래에셋비전스팩11호,KOSDAQ,13972000000
191410,육일씨엔에쓰,KOSDAQ,13971705985
308100,형지글로벌,KOSDAQ,13957367648
208850,이비테크,KONEX,13819225000
009730,이렘,KOSDAQ,13781668992
217880,틸론,KONEX,13709476620
019685,대교우B,KOSPI,13696027950
217320,썬테크,KONEX,13650000000
352770,셀레스트라,KOSDAQ,13610136750
361670,삼영에스앤씨,KOSDAQ,13602379200
001795,대한제당우,KOSPI,13548968400
079950,인베니아,KOSDAQ,13454122500
023790,동일스틸럭스,KOSDAQ,13435762624
244460,올리패스,KOSDAQ,13415218661
115530,씨엔플러스,KOSDAQ,13403447700
489480,키움제11호스팩,KOSDAQ,13332000000
368970,오에스피,KOSDAQ,13315233195
0134X0,대신밸런스제20호스팩,KOSDAQ,13298020000
481890,엔에이치스팩31호,KOSDAQ,13165875000
028080,휴맥스홀딩스,KOSDAQ,13132781340
043590,웰킵스하이텍,KOSDAQ,13107056046
0096B0,삼성스팩12호,KOSDAQ,13087620000
069330,유아이디,KOSDAQ,13087387128
250930,예선테크,KOSDAQ,13068174240
079190,케스피온,KOSDAQ,13021697003
456190,큐라켐,KONEX,13016802120
0097F0,미래에셋비전스팩10호,KOSDAQ,12967500000
478390,KB제29호스팩,KOSDAQ,12813200000
149010,아이케이세미콘,KONEX,12792000000
489730,디비금융제13호스팩,KOSDAQ,12758980000
177350,베셀,KOSDAQ,12755294783
0093G0,미래에셋비전스팩8호,KOSDAQ,12736000000
253610,루트락,KONEX,12699491898
054180,메디콕스,KOSDAQ,12686716395
0037T0,KB제32호스팩,KOSDAQ,12634680000
0099X0,IBKS제25호스팩,KOSDAQ,12617800000
471050,대신밸런스제17호스팩,KOSDAQ,12604800000
492220,KB제31호스팩,KOSDAQ,12575250000
0054V0,엔에이치스팩32호,KOSDAQ,12557330000
0088D0,메리츠제1호스팩,KOSDAQ,12546175000
0131D0,키움히어로제2호스팩,KOSDAQ,12474870000
482520,교보16호스팩,KOSDAQ,12413500000
065570,삼영이엔씨,KOSDAQ,12295692232
0091W0,신영스팩11호,KOSDAQ,12287700000
312610,에이에프더블류,KOSDAQ,12113619024
0041L0,하나35호스팩,KOSDAQ,12047940000
225430,케이엠제약,KOSDAQ,12019318550
482690,대신밸런스제19호스팩,KOSDAQ,12016100000
477760,DB금융스팩12호,KOSDAQ,12001200000
0132G0,교보20호스팩,KOSDAQ,11928060000
004105,태양금속우,KOSPI,11731500000
012340,뉴인텍,KOSDAQ,11628021048
469900,하나31호스팩,KOSDAQ,11602350000
001755,한양증권우,KOSPI,11576250000
38380K,LX홀딩스1우,KOSPI,11575751500
0071M0,삼성스팩11호,KOSDAQ,11548800000
060240,스타코링크,KOSDAQ,11502414560
084695,대상홀딩스우,KOSPI,11473333920
487360,신한제14호스팩,KOSDAQ,11364600000
145995,삼양사우,KOSPI,11324142000
474490,유안타제16호스팩,KOSDAQ,11323050000
474660,신한제12호스팩,KOSDAQ,11316000000
035290,골드앤에스,KOSDAQ,11275487520
496070,신한제16호스팩,KOSDAQ,11268100000
0105P0,유진스팩12호,KOSDAQ,11263400000
477470,미래에셋비전스팩5호,KOSDAQ,11261400000
084180,수성웹툰,KOSDAQ,11260278309
0129K0,신한제18호스팩,KOSDAQ,11155700000
289170,바이오텐,KONEX,11016202120
025870,신라에스지,KOSDAQ,10980000000
0096D0,미래에셋비전스팩9호,KOSDAQ,10956000000
069920,엑시온그룹,KOSDAQ,10923412175
486630,KB제30호스팩,KOSDAQ,10858950000
0098T0,교보19호스팩,KOSDAQ,10854000000
103660,씨앗,KONEX,10831447800
176590,코나솔,KONEX,10820654082
012205,계양전기우,KOSPI,10767217590
489210,교보17호스팩,KOSDAQ,10696700000
493790,유안타제17호스팩,KOSDAQ,10673100000
419540,비스토스,KOSDAQ,10645532130
0004Y0,디비금융제14호스팩,KOSDAQ,10640630000
0130D0,신한제17호스팩,KOSDAQ,10610580000
004255,NPC우,KOSPI,10501920000
009620,삼보산업,KOSDAQ,10501301848
185190,수프로,KONEX,10485839375
043100,알파AI,KOSDAQ,10457241600
224760,엔에스컴퍼니,KONEX,10381109500
050090,비케이홀딩스,KOSDAQ,10367201140
008290,원풍물산,KOSDAQ,10275153695
466690,키움히어로제1호스팩,KOSDAQ,10215475000
478110,이베스트스팩6호,KOSDAQ,10190600000
469480,IBKS제24호스팩,KOSDAQ,10173150000
498390,한화플러스제5호스팩,KOSDAQ,10118400000
0041B0,교보18호스팩,KOSDAQ,10105200000
244880,나눔테크,KONEX,10090200000
238500,솔루믹스,KONEX,9883469400
011080,형지I&C,KOSDAQ,9859921290
472220,신영스팩10호,KOSDAQ,9802100000
001515,SK증권우,KOSPI,9683472150
189350,코셋,KONEX,9672000000
001067,JW중외제약2우B,KOSPI,9648259350
488060,유진스팩11호,KOSDAQ,9558000000
106080,케이이엠텍,KOSDAQ,9506998050
145210,다이나믹디자인,KOSPI,9461013632
484130,하나34호스팩,KOSDAQ,9153000000
178600,대동고려삼,KONEX,9121680000
464440,한국제13호스팩,KOSDAQ,9093600000
236340,메디젠휴먼케어,KONEX,9043941000
473950,에스케이증권제13호스팩,KOSDAQ,8972600000
003075,코오롱글로벌우,KOSPI,8962917700
465320,교보15호스팩,KOSDAQ,8896350000
467930,IBKS제23호스팩,KOSDAQ,8883000000
33637L,솔루스첨단소재2우B,KOSPI,8860104120
468760,유진스팩10호,KOSDAQ,8776800000
487830,신한제15호스팩,KOSDAQ,8743500000
236030,씨알푸드,KONEX,8743327600
341170,퓨쳐메디신,KONEX,8647761305
0068Y0,비엔케이제3호스팩,KOSDAQ,8607070000
472230,에스케이증권제11호스팩,KOSDAQ,8600850000
487720,키움제10호스팩,KOSDAQ,8586900000
000225,유유제약1우,KOSPI,8489652850
073190,듀오백,KOSDAQ,8305819760
03481K,해성산업1우,KOSDAQ,8250943470
0041J0,엘에스스팩1호,KOSDAQ,8199450000
114920,대주이엔티,KONEX,8083935000
121850,코이즈,KOSDAQ,7924317433
309930,조이웍스앤코,KOSDAQ,7894623308
199150,데이터스트림즈,KONEX,7854247920
204210,JK리버스톤리츠,KOSPI,7826815000
475250,하나33호스팩,KOSDAQ,7677500000
079970,투비소프트,KOSDAQ,7646223464
212310,오건에코텍,KONEX,7514663025
474930,신한제13호스팩,KOSDAQ,7493400000
004985,성신양회우,KOSPI,7400588700
066830,제노텍,KONEX,7361666820
001065,JW중외제약우,KOSPI,7249361200
276040,스코넥,KOSDAQ,7073119545
199290,바이오프로테크,KONEX,6987182176
251280,안지오랩,KONEX,6903426990
004835,덕성우,KOSPI,6897360000
473000,에스케이증권제12호스팩,KOSDAQ,6768950000
101390,아이엠,KOSDAQ,6698084184
475240,하나32호스팩,KOSDAQ,6608000000
000325,노루홀딩스우,KOSPI,6539559150
234070,에이원큐브텍,KONEX,6306396918
26490K,크라운제과우,KOSPI,6234893600
447690,아이오바이오,KONEX,6167950320
302920,더콘텐츠온,KONEX,5918066700
215570,크로넥스,KONEX,5914589356
202960,판도라티비,KONEX,5814804016
318660,타임기술,KONEX,5810672700
267080,세븐브로이맥주,KONEX,5769504288
276240,엘리비젼,KONEX,5762548584
008500,일정실업,KOSPI,5544000000
044180,KD,KOSDAQ,5477148795
332190,오션스바이오,KONEX,5371944765
313760,캐리,KOSDAQ,5244963048
311960,인터로이드,KONEX,5169776832
009415,태영건설우,KOSPI,5102295900
121060,유니포인트,KONEX,5084713557
090355,노루페인트우,KOSPI,5034179620
266350,팡스카이,KONEX,5026568860
258050,테크트랜스,KONEX,5004531101
327610,펨토바이오메드,KONEX,4993610310
346010,타이드,KONEX,4860062000
217910,에스제이켐,KONEX,4784758524
043090,더테크놀로지,KOSDAQ,4718944500
092590,럭스피아,KONEX,4564227348
052770,아이톡시,KOSDAQ,4545457488
000545,흥국화재우,KOSPI,4531200000
000145,하이트진로홀딩스우,KOSPI,4524484100
224810,엄지하우스,KONEX,4347000000
299480,지앤이헬스케어,KONEX,4329289770
116100,태양기계,KONEX,4292871922
136660,큐엠씨,KONEX,4247349050
266470,바이오인프라생명과학,KONEX,4152036831
390110,애니메디솔루션,KONEX,3956395176
402420,켈스,KONEX,3913039158
014825,동원시스템즈우,KOSPI,3737170650
208890,미래엔에듀파트너,KONEX,3604968000
014285,금강공업우,KOSPI,3604136250
005965,동부건설우,KOSPI,3543992400
005745,크라운해태홀딩스우,KOSPI,3502232580
36328K,티와이홀딩스우,KOSPI,3442600570
004545,깨끗한나라우,KOSPI,3438242400
093510,엔지브이아이,KONEX,3431400000
002995,금호건설우,KOSPI,3387362940
000227,유유제약2우B,KOSPI,3369546000
007575,일양약품우,KOSPI,3360354000
001527,동양2우B,KOSPI,3359554380
008355,남선알미우,KOSPI,3195898200
413300,티엘엔지니어링,KONEX,3074696625
001525,동양우,KOSPI,2869360495
296520,가이아코퍼레이션,KONEX,2734866688
014915,성문전자우,KOSPI,2652000000
002785,진흥기업우B,KOSPI,2631659260
140660,위월드,KONEX,2574305820
223220,로지스몬,KONEX,2566313550
002787,진흥기업2우B,KOSPI,2387944800
245450,씨앤에스링크,KONEX,2316221360
448780,마이크로엔엑스,KONEX,2126077920
021045,대호특수강우,KOSDAQ,2023653420
011155,CJ씨푸드1우,KOSPI,1922000000
